run_name	path	bytes	reason	status
cifar100_4agent_25cls_hetero4arch_ipc10	outputs/cifar100_4agent_25cls_hetero4arch_ipc10/agents/agent_0/checkpoints/expert_model.pt	2023046	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_hetero4arch_ipc10	outputs/cifar100_4agent_25cls_hetero4arch_ipc10/agents/agent_0/checkpoints/dsdm_pretrained/cifar100_model_0.pth	2023118	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_hetero4arch_ipc10	outputs/cifar100_4agent_25cls_hetero4arch_ipc10/agents/agent_0/checkpoints/dsdm_pretrained/cifar100_model_1.pth	2023118	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_hetero4arch_ipc10	outputs/cifar100_4agent_25cls_hetero4arch_ipc10/agents/agent_0/checkpoints/dsdm_pretrained/cifar100_model_2.pth	2023118	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_hetero4arch_ipc10	outputs/cifar100_4agent_25cls_hetero4arch_ipc10/agents/agent_0/checkpoints/dsdm_pretrained/cifar100_model_3.pth	2023118	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_hetero4arch_ipc10	outputs/cifar100_4agent_25cls_hetero4arch_ipc10/agents/agent_0/checkpoints/dsdm_pretrained/cifar100_model_4.pth	2023118	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_hetero4arch_ipc10	outputs/cifar100_4agent_25cls_hetero4arch_ipc10/agents/agent_0/checkpoints/dsdm_pretrained/cifar100_model_5.pth	2023118	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_hetero4arch_ipc10	outputs/cifar100_4agent_25cls_hetero4arch_ipc10/agents/agent_0/checkpoints/dsdm_pretrained/cifar100_model_6.pth	2023118	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_hetero4arch_ipc10	outputs/cifar100_4agent_25cls_hetero4arch_ipc10/agents/agent_0/checkpoints/dsdm_pretrained/cifar100_model_7.pth	2023118	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_hetero4arch_ipc10	outputs/cifar100_4agent_25cls_hetero4arch_ipc10/agents/agent_0/checkpoints/dsdm_pretrained/cifar100_model_8.pth	2023118	model/checkpoint/packet payload	planned
