run_name	path	bytes	reason	status
cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500/agents/agent_0/packets/dsdm_packet.pt	3126768	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500/agents/agent_0/checkpoints/expert_model.pt	719494	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500/agents/agent_1/packets/dsdm_packet.pt	3126768	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500/agents/agent_1/checkpoints/expert_model.pt	2023046	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500/agents/agent_2/packets/dsdm_packet.pt	3126768	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500/agents/agent_2/checkpoints/expert_model.pt	2001230	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500/agents/agent_3/packets/dsdm_packet.pt	3126768	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500/agents/agent_3/checkpoints/expert_model.pt	4325454	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500/packet_hub/dsdm/agent_0_dsdm_packet.pt	3126768	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500/packet_hub/dsdm/agent_1_dsdm_packet.pt	3126768	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500/packet_hub/dsdm/agent_2_dsdm_packet.pt	3126768	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd025_ep500/packet_hub/dsdm/agent_3_dsdm_packet.pt	3126768	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep200	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep200/agents/agent_0/packets/dsdm_packet.pt	3126768	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep200	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep200/agents/agent_0/checkpoints/expert_model.pt	719494	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep200	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep200/agents/agent_1/packets/dsdm_packet.pt	3126768	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep200	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep200/agents/agent_1/checkpoints/expert_model.pt	2023046	model/checkpoint/packet payload	planned
cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep200	outputs/cifar100_4agent_25cls_conv_family_ablation_fr010_kd050_ep200/agents/agent_2/packets/dsdm_packet.pt	3126768	model/checkpoint/packet payload	planned
